Rating,DISA [K],Altitude [ft],Mach,Thrust [N],Fuel Flow [kg/s],SFC [kg/s/N]
21,0,15000,0,6866.865454,0.085820066,1.25E-05
50,0,15000,0.1,80223.95661,0.796758211,9.93E-06
45,0,15000,0.1,75421.42924,0.71270112,9.45E-06
40,0,15000,0.1,69945.05054,0.650016862,9.29E-06
21,0,15000,0.1,4841.746331,0.085450152,1.76E-05
50,0,15000,0.2,74405.30434,0.805212938,1.08E-05
45,0,15000,0.2,69638.43038,0.720099401,1.03E-05
40,0,15000,0.2,64304.66574,0.656344625,1.02E-05
21,0,15000,0.2,3372.821792,0.084340409,2.50E-05
50,0,15000,0.3,69823.82867,0.820047301,1.17E-05
45,0,15000,0.3,64925.03675,0.731196824,1.13E-05
40,0,15000,0.3,59502.13823,0.663241485,1.11E-05
21,0,15000,0.3,2206.952149,0.082367534,3.73E-05
50,0,15000,0.4,66301.26214,0.836581835,1.26E-05
45,0,15000,0.4,61035.23904,0.743527293,1.22E-05
40,0,15000,0.4,55280.76305,0.669175716,1.21E-05
21,0,15000,0.4,1222.915238,0.079778136,6.52E-05
50,0,15000,0.5,63484.63508,0.854210381,1.35E-05
45,0,15000,0.5,57762.24708,0.757090809,1.31E-05
40,0,15000,0.5,51747.50043,0.677529236,1.31E-05
21,0,15000,0.5,328.0122058,0.076325604,0.000232691
50,0,15000,0.6,61334.72853,0.877498902,1.43E-05
45,0,15000,0.6,54881.44374,0.773120419,1.41E-05
40,0,15000,0.6,48952.26541,0.691844279,1.41E-05
21,0,15000,0.6,-552.6293173,0.072503159,-0.000131197
50,0,15000,0.7,59459.354,0.902360355,1.52E-05
45,0,15000,0.7,52385.69821,0.791616123,1.51E-05
40,0,15000,0.7,46674.0063,0.710262725,1.52E-05
21,0,15000,0.7,-1550.92759,0.067570971,-4.36E-05
50,0,15000,0.8,57302.31691,0.922337793,1.61E-05
45,0,15000,0.8,50556.67333,0.816277061,1.61E-05
40,0,15000,0.8,44677.4099,0.72880812,1.63E-05
21,0,15000,0.8,-2549.225863,0.062638784,-2.46E-05
50,0,15000,0.9,55637.29813,0.952462296,1.71E-05
45,0,15000,0.9,48795.38999,0.840937999,1.72E-05
