Altitude,Mach,CL,LOD ,CD Total,,
10000,0.6,0.507845119,18.62449525,0.027267591,,
10000,0.6,0.609414143,19.49226306,0.031264412,,
10000,0.6,0.710983166,19.58817264,0.036296554,,
10000,0.6,0.81255219,19.16007327,0.042408616,,
10000,0.6,0.914121214,18.41336577,0.049644439,,
10000,0.6,1.218828285,15.52278351,0.078518668,,
10000,0.6,1.439390485,13.48127169,0.106769637,,
10000,0.7,0,0,0.020999596,,
10000,0.7,0.101569024,4.998957281,0.020318042,,
10000,0.7,0.203138048,9.898383835,0.020522345,,
10000,0.7,0.304707071,14.09319977,0.021620858,,
10000,0.7,0.406276095,17.19139015,0.023632533,,
10000,0.7,0.507845119,19.09466393,0.02659618,,
10000,0.7,0.609414143,19.90085863,0.030622505,,
10000,0.7,0.710983166,19.89418522,0.03573824,,
10000,0.7,0.81255219,19.35567005,0.04198006,,
10000,0.7,0.914121214,18.51042983,0.049384116,,
10000,0.7,1.218828285,15.45266301,0.078874967,,
10000,0.7,1.439390485,13.41148751,0.107325193,,
10000,0.75,0,0,0.021796922,,
10000,0.75,0.101569024,4.809271694,0.021119419,,
10000,0.75,0.203138048,9.527191708,0.021321923,,
10000,0.75,0.304707071,13.59660323,0.022410529,,
10000,0.75,0.406276095,16.64933997,0.024401934,,
10000,0.75,0.507845119,18.49402927,0.02745995,,
10000,0.75,0.609414143,19.14612474,0.031829634,,
10000,0.75,0.710983166,19.08453546,0.037254413,,
10000,0.75,0.81255219,18.55398311,0.043793949,,
10000,0.75,0.914121214,17.75806209,0.051476406,,
10000,0.75,1.218828285,14.9862191,0.081329939,,
10000,0.75,1.439390485,13.14100647,0.109534265,,
10000,0.775,0,0,0.022647431,,
10000,0.775,0.101569024,4.593903695,0.022109524,,
10000,0.775,0.203138048,9.104612664,0.022311553,,
10000,0.775,0.304707071,13.02420719,0.023395441,,
10000,0.775,0.406276095,16.00981621,0.025376687,,
10000,0.775,0.507845119,17.8345473,0.028475358,,
10000,0.775,0.609414143,18.4362843,0.03305515,,
10000,0.775,0.710983166,18.35963651,0.03872534,,
10000,0.775,0.81255219,17.87107733,0.045467443,,
10000,0.775,0.914121214,17.17106811,0.05323613,,
10000,0.775,1.218828285,14.65362569,0.083175885,,
10000,0.775,1.439390485,12.94715237,0.111174291,,
10000,0.8,0,0,0.024142113,,
10000,0.8,0.101569024,4.300357792,0.023618738,,
10000,0.8,0.203138048,8.520615356,0.023840772,,
10000,0.8,0.304707071,12.21336176,0.024948665,,
10000,0.8,0.406276095,15.07189304,0.026955877,,
10000,0.8,0.507845119,16.81368847,0.030204266,,
10000,0.8,0.609414143,17.36263637,0.035099171,,
10000,0.8,0.710983166,17.34603156,0.040988232,,
10000,0.8,0.81255219,16.96062443,0.047908153,,
10000,0.8,0.914121214,16.36492711,0.055858557,,
10000,0.8,1.218828285,14.18522441,0.085922383,,
10000,0.8,1.439390485,12.64652956,0.113817034,,
10000,0.825,0,0,0.026542526,,
10000,0.825,0.101569024,3.900349622,0.026041005,,
10000,0.825,0.203138048,7.720594936,0.026311191,,
10000,0.825,0.304707071,11.08390756,0.027490943,,
10000,0.825,0.406276095,13.72920054,0.029592116,,
10000,0.825,0.507845119,15.37159711,0.033037889,,
10000,0.825,0.609414143,15.90517787,0.038315456,,
10000,0.825,0.710983166,15.95642939,0.044557786,,
10000,0.825,0.81255219,15.70029473,0.051753945,,
10000,0.825,0.914121214,15.24264031,0.059971317,,
10000,0.825,1.218828285,13.41381928,0.090863628,,
10000,0.825,1.439390485,12.07732439,0.119181239,,
20000,0.2,0,0,0.025597481,,
20000,0.2,0.101569024,4.078958013,0.024900728,,
20000,0.2,0.203138048,8.08365634,0.025129476,,
20000,0.2,0.304707071,11.58244939,0.026307654,,
20000,0.2,0.406276095,14.27054452,0.028469558,,
20000,0.2,0.507845119,16.04246,0.031656312,,
20000,0.2,0.609414143,16.96065123,0.035931058,,
20000,0.2,0.710983166,17.18997309,0.041360342,,
20000,0.2,0.81255219,16.9248315,0.04800947,,
20000,0.2,0.914121214,16.34044974,0.055942231,,
20000,0.2,1.218828285,13.84216492,0.088051854,,
20000,0.2,1.439390485,12.02206995,0.119729006,,
20000,0.3,0,0,0.024218673,,
