ID,SLST,BPR,OPR,FPR,SFC,T_EoR,T_ToC,T_MdC,Category
55,29224.28917,5.056349243,28.18336367,1.601344861,0.642,22655,5026,3850,-1
56,29519.13118,5.154086,27.24372468,1.601645021,0.643,22874,5066,3869,-1
57,29170.29076,5.038106756,28.29130673,1.660123368,0.633,22657,5076,3897,-1
58,31844.0144,5.565871654,28.56389999,1.622579805,0.643,24391,5150,3873,-1
59,32074.17542,5.313661359,29.8262035,1.695100411,0.645,24641,5206,3937,-1
60,32115.82314,5.313271774,29.8262035,1.696725393,0.646,24672,5210,3940,-1
61,30269.8292,5.202971551,27.10948394,1.648143128,0.635,23470,5222,3990,-1
62,36722.20332,6.065962349,28.13301756,1.692302769,0.708,27572,5258,3879,-1
63,31844.0144,5.429701855,28.56389999,1.617394384,0.639,24472,5260,3986,-1
64,31973.11647,5.406794501,27.13631236,1.695097274,0.642,24666,5299,3997,-1
65,31630.07422,5.301050167,28.24911142,1.618858262,0.637,24399,5331,4062,-1
66,31701.08492,5.231436612,28.0889364,1.622168223,0.636,24504,5397,4123,-1
67,38728.75403,6.472534122,27.73446944,1.626846209,0.701,28924,5435,3914,-1
68,38728.75403,6.472534122,27.73446944,1.626846209,0.701,28924,5435,3914,-1
69,38728.75403,6.472534122,27.73446944,1.626846209,0.701,28924,5435,3914,-1
70,38728.75403,6.472534122,27.73446944,1.626846209,0.701,28924,5435,3914,-1
71,32031.08327,5.206268047,28.29486165,1.646594731,0.633,24776,5465,4177,-1
72,34778.91256,5.722201908,28.58644339,1.642474547,0.649,26527,5469,4079,-1
73,39256.62088,6.265782766,27.21774613,1.686892492,0.726,29324,5469,4017,-1
74,34778.91256,5.722201908,28.41060678,1.642474547,0.649,26539,5483,4090,-1
75,34778.91256,5.722201908,28.41060678,1.642474547,0.649,26539,5483,4090,-1
76,36706.43269,6.079766857,27.49190532,1.653498697,0.672,27760,5494,4032,-1
77,36706.43269,6.079766857,27.46386767,1.653498697,0.672,27763,5496,4034,-1
78,38976.3547,6.201022733,28.94156502,1.658765222,0.704,29153,5504,4032,-1
79,32031.08327,5.203361136,27.48918617,1.646594731,0.634,24819,5511,4214,-1
80,32031.08327,5.203361136,27.48918617,1.646594731,0.634,24819,5511,4214,-1
81,36706.43269,6.079766857,27.11220309,1.653498697,0.669,27794,5528,4058,-1
82,32031.08327,5.203361136,27.10948394,1.646594731,0.634,24837,5531,4229,-1
83,32031.08327,5.203361136,27.10948394,1.646594731,0.634,24837,5531,4229,-1
84,32031.08327,5.203361136,27.10948394,1.646594731,0.634,24837,5531,4229,-1
85,39145.89387,6.322928155,28.86081114,1.627351424,0.694,29279,5543,4017,-1
86,38962.89096,6.334230694,27.28643593,1.651396324,0.697,29213,5568,4046,-1
87,38790.59729,6.204199927,28.29130673,1.650241872,0.689,29130,5597,4085,0
88,38980.24712,6.13812162,28.78840817,1.660167369,0.693,29254,5602,4110,0
89,33593.60155,5.26433914,28.0889364,1.696909794,0.637,25964,5634,4278,0
90,39170.31241,6.283758154,28.80205754,1.61512345,0.68,29385,5643,4104,0
91,33593.60155,5.248425729,28.0889364,1.696909794,0.636,25975,5649,4292,0
92,33593.60155,5.248425729,28.0889364,1.696909794,0.636,25975,5649,4292,0
93,39717.2265,6.091200319,29.01124144,1.674513881,0.702,29772,5663,4177,0
94,33147.73591,5.207265745,28.08412975,1.622434673,0.635,25639,5663,4332,1
95,33736.53103,5.263451883,28.56389999,1.618743444,0.636,26033,5700,4352,0
96,38790.59729,6.204199927,28.22562089,1.624232968,0.673,29214,5700,4163,0
97,33873.78988,5.306620157,28.34304711,1.620102575,0.636,26126,5706,4351,0
98,33577.83092,5.278143649,27.46386767,1.658600279,0.633,25979,5719,4360,0
99,33593.60155,5.230622762,28.0889364,1.622168223,0.635,25970,5724,4376,0
100,33593.60155,5.230622762,28.0889364,1.622168223,0.635,25970,5724,4376,0
101,33593.60155,5.230622762,28.0889364,1.622168223,0.635,25970,5724,4376,0
102,33593.60155,5.230622762,28.0889364,1.622168223,0.635,25970,5724,4376,0
103,33593.60155,5.230622762,28.0889364,1.622168223,0.635,25970,5724,4376,0
104,33593.60155,5.230313821,28.0889364,1.620966802,0.635,25969,5724,4376,0
105,38962.89096,6.102312592,28.29176075,1.652098108,0.678,29371,5737,4208,0
106,33184.55363,5.132110471,27.52837927,1.627758701,0.635,25743,5746,4405,0
107,34314.24381,5.433592275,27.16295004,1.642817463,0.636,26461,5749,4358,0
108,33593.60155,5.230622762,27.30085517,1.622168223,0.636,26009,5763,4405,0
109,33863.78458,5.278143649,27.46386767,1.658600279,0.633,26200,5769,4398,0
110,34085.30772,5.235791367,28.28669406,1.656627712,0.632,26353,5790,4421,0
111,38962.89096,6.102312592,28.22607491,1.626089204,0.665,29437,5826,4277,0
112,38962.89096,6.102312592,28.22607491,1.626089204,0.665,29437,5826,4277,0
113,39010.49126,6.102312592,28.22607491,1.626089204,0.665,29473,5833,4283,0
114,38576.29021,5.691098092,29.14048658,1.604421801,0.643,29423,6110,4585,0
115,36419.23954,5.393262007,27.46393241,1.653188906,0.634,28099,6110,4640,0
116,36343.05984,5.301247418,28.0889364,1.652472482,0.632,28067,6138,4679,0
117,36343.05984,5.301247418,28.0889364,1.652472482,0.632,28067,6138,4679,0
118,36623.24817,5.301050167,28.34304711,1.654081552,0.632,28269,6165,4700,0
119,38962.89096,5.670926848,29.11570039,1.626389364,0.644,29735,6171,4629,0
120,38750.99808,5.543044511,28.84471018,1.681084268,0.646,29666,6185,4654,0
121,38750.99808,5.543044511,28.84471018,1.681084268,0.646,29666,6185,4654,0
122,36736.44225,5.297027811,28.09334136,1.654658525,0.632,28375,6207,4733,0
123,36566.10602,5.31686315,27.46393241,1.652820336,0.632,28266,6207,4731,0
124,38749.67226,5.543044511,28.395796,1.681927399,0.645,29701,6223,4684,0
125,38910.79844,5.536863567,28.69717264,1.68084942,0.645,29807,6231,4691,0
126,36736.44225,5.31686315,27.46393241,1.653188906,0.632,28398,6236,4753,0
127,36736.44225,5.31686315,27.46393241,1.652818957,0.632,28398,6236,4754,0
128,38910.79844,5.527791643,28.63971152,1.682238057,0.645,29819,6243,4702,0
129,38962.89096,5.670926848,28.24433945,1.626389364,0.641,29799,6244,4688,0
130,38750.99808,5.437796656,28.84471018,1.681084268,0.641,29761,6298,4762,0
131,38749.67226,5.543044511,27.40339826,1.681084268,0.642,29779,6310,4753,0
132,36604.41264,5.126315722,27.20778573,1.622260955,0.635,28416,6356,4878,0
133,38528.46505,5.481201126,27.02726673,1.686170841,0.639,29685,6357,4799,0
134,36229.72336,5.022876712,27.38120737,1.653467339,0.63,28207,6382,4917,0
135,38504.04651,5.433592275,27.21774613,1.686170841,0.637,29692,6387,4832,0
136,39257.39017,5.509371481,28.91696655,1.625682052,0.637,30101,6394,4838,0
137,37411.38531,5.231245768,27.28240901,1.605605858,0.637,28955,6400,4894,0
138,38286.33486,5.436522923,27.34175463,1.642873897,0.634,29516,6410,4865,0
139,37447.66239,5.221526757,27.31122212,1.605515789,0.637,28988,6411,4903,0
140,38286.33486,5.433592275,27.34175463,1.642873897,0.634,29518,6412,4868,0
141,39012.71282,5.414606785,28.7819547,1.660123368,0.636,29997,6412,4864,0
142,37447.66239,5.221835698,27.31122212,1.606717211,0.637,28989,6413,4905,0
143,37711.55827,5.201163427,28.76150062,1.656138811,0.63,29158,6414,4909,0
144,38978.38926,5.435602106,28.86285995,1.627008465,0.635,29947,6424,4877,0
