ID,ThrustSLS,WingSpan,WingSweep,WingTCR,MTOW,Range,TOFL,AppSpeed
109,24000,94,25,0.114,165363.661,1354.78602,9564.817205,149.7359391
110,24000,94,25,0.117,166069.4201,1381.973384,9657.553462,150.0551361
111,24000,94,26,0.09,160054.7681,1062.778941,8899.351482,147.3135513
112,24000,94,26,0.093,160693.5556,1104.370131,8976.543695,147.6063678
113,24000,94,26,0.096,161343.6221,1145.179095,9055.882953,147.9046352
114,24000,94,26,0.099,162003.703,1185.027079,9137.265751,148.2068834
115,24000,94,26,0.102,162672.9023,1223.570171,9220.630345,148.5126789
116,24000,94,26,0.105,163350.4265,1260.123424,9305.925204,148.8216383
117,24000,94,26,0.108,164035.5706,1294.525125,9393.107632,149.1334216
118,24000,94,26,0.111,164727.7061,1326.842238,9482.142622,149.4477258
119,24000,94,26,0.114,165426.2709,1356.655033,9573.001908,149.7642806
120,24000,94,26,0.117,166130.7607,1383.622687,9665.663159,150.0828439
121,24000,94,27,0.09,160137.3888,1058.285594,8909.292908,147.351166
122,24000,94,27,0.093,160774.0844,1099.778765,8986.328905,147.6433455
123,24000,94,27,0.096,161422.0821,1140.633122,9065.512882,147.9405904
124,24000,94,27,0.099,162080.2195,1180.627372,9146.753714,148.2418765
125,24000,94,27,0.102,162747.5891,1219.4806,9229.988495,148.546765
126,24000,94,27,0.105,163423.3881,1257.581129,9315.164671,148.854868
127,24000,94,27,0.108,164106.9026,1293.117085,9402.238646,149.1658412
128,24000,94,27,0.111,164797.4963,1326.503304,9491.174621,149.479378
129,24000,94,27,0.114,165494.6004,1357.572186,9581.943624,149.7952049
130,24000,94,27,0.117,166197.7041,1385.970282,9674.522702,150.1130767
131,24000,94,28,0.09,160227.428,1053.695453,8920.141319,147.392586
132,24000,94,28,0.093,160861.7197,1095.115839,8996.991471,147.6835759
133,24000,94,28,0.096,161507.4654,1136.007434,9076.005851,147.9797083
134,24000,94,28,0.099,162163.4867,1176.100344,9157.091628,148.2799475
135,24000,94,28,0.102,162828.8647,1215.106572,9240.184624,148.5838492
136,24000,94,28,0.105,163502.7854,1253.500822,9325.231168,148.8910203
137,24000,94,28,0.108,164184.5257,1290.993667,9412.186681,149.2011121
138,24000,94,28,0.111,164873.4411,1325.417264,9501.014496,149.513814
139,24000,94,28,0.114,165568.9548,1357.648924,9591.684872,149.8288488
140,24000,94,28,0.117,166270.5496,1387.409793,9684.174172,150.1459681
141,24000,94,29,0.09,160325.1745,1049.025306,8931.935362,147.4375385
142,24000,94,29,0.093,160956.8559,1090.308864,9008.582991,147.7272374
143,24000,94,29,0.096,161600.1558,1131.170263,9087.412554,148.0221623
144,24000,94,29,0.099,162253.8793,1171.317369,9168.329362,148.3212653
145,24000,94,29,0.102,162917.0943,1210.539521,9251.267846,148.6240959
146,24000,94,29,0.105,163588.9753,1249.114264,9336.173119,148.9302556
147,24000,94,29,0.108,164268.7891,1287.245277,9422.999528,149.2393908
148,24000,94,29,0.111,164955.8817,1323.460205,9511.709461,149.5511864
149,24000,94,29,0.114,165649.6684,1356.789565,9602.272338,149.8653614
150,24000,94,29,0.117,166349.6245,1387.829795,9694.663777,150.1816641
151,24000,94,30,0.09,160431.0715,1044.154812,8944.732855,147.4862238
152,24000,94,30,0.093,161059.924,1085.409381,9021.160185,147.7745246
153,24000,94,30,0.096,161700.5735,1126.147877,9099.788713,148.0681418
154,24000,94,30,0.099,162351.8068,1166.392016,9180.521724,148.3660143
155,24000,94,30,0.102,163012.6777,1205.759711,9263.292136,148.6676849
156,24000,94,30,0.105,163682.3483,1244.490957,9348.043734,148.9727491
157,24000,94,30,0.108,164360.0742,1282.689495,9434.7297,149.2808481
158,24000,94,30,0.111,165045.1915,1320.19151,9523.31139,149.5916623
159,24000,94,30,0.114,165737.1066,1354.982628,9613.757313,149.9049061
160,24000,94,30,0.117,166435.2869,1387.238601,9706.042276,150.2203241
161,24000,94,31,0.09,160545.604,1039.270482,8958.597405,147.5388611
162,24000,94,31,0.093,161171.396,1080.292831,9034.785447,147.8256503
163,24000,94,31,0.096,161809.1781,1120.951129,9113.195616,148.1178538
164,24000,94,31,0.099,162457.7174,1161.156032,9193.728991,148.414396
165,24000,94,31,0.102,163116.0524,1200.697854,9276.316844,148.7148125
166,24000,94,31,0.105,163783.3316,1239.546421,9360.90152,149.0186924
167,24000,94,31,0.108,164458.7987,1277.890645,9447.434931,149.3256712
168,24000,94,31,0.111,165141.779,1315.521535,9535.877313,149.6354241
169,24000,94,31,0.114,165831.6693,1352.185845,9626.196183,149.9476612
170,24000,94,31,0.117,166527.9284,1385.615472,9718.365466,150.2621227
171,24000,94,32,0.09,160669.3027,1034.148368,8973.599048,147.5956899
172,24000,94,32,0.093,161291.7884,1075.017997,9049.527466,147.8808476
173,24000,94,32,0.096,161926.4729,1115.506316,9127.700726,148.1715249
174,24000,94,32,0.099,162572.1018,1155.623263,9208.017506,148.466631
175,24000,94,32,0.102,163227.6972,1195.228642,9290.407293,148.7656936
176,24000,94,32,0.105,163892.3931,1234.267842,9374.810863,149.068295
177,24000,94,32,0.108,164565.4199,1272.737173,9461.178752,149.3740644
178,24000,94,32,0.111,165246.0916,1310.440051,9549.469978,149.6826716
179,24000,94,32,0.114,165933.7945,1347.374658,9639.65098,149.9938218
180,24000,94,32,0.117,166627.9781,1382.969132,9731.694729,150.3072507
181,24000,94,33,0.09,160802.7493,1028.890904,8989.814972,147.6569726
182,24000,94,33,0.093,161421.6673,1069.633766,9065.461941,147.9403711
183,24000,94,33,0.096,162053.0093,1109.972672,9143.378381,148.229403
184,24000,94,33,0.099,162695.4977,1149.914433,9223.460367,148.5229606
185,24000,94,33,0.102,163348.1369,1189.401511,9305.635442,148.8205634
186,24000,94,33,0.105,164010.0451,1228.736367,9389.842685,149.1217862
187,24000,94,33,0.108,164680.4388,1267.297092,9476.031136,149.4262516
188,24000,94,33,0.111,165358.6193,1305.133827,9564.158491,149.7336234
189,24000,94,33,0.114,166043.9618,1342.188903,9654.190021,150.0436015
190,24000,94,33,0.117,166735.9058,1378.462275,9746.097659,150.3559169
191,24000,94,34,0.09,160946.5817,1023.430281,9007.330355,147.7229964
192,24000,94,34,0.093,161561.6536,1064.028367,9082.672387,148.0045
193,24000,94,34,0.096,162189.392,1104.213106,9160.310587,148.2917595
194,24000,94,34,0.099,162828.4948,1143.986776,9240.138198,148.5836492
195,24000,94,34,0.102,163477.9471,1183.373613,9322.080658,148.8796796
196,24000,94,34,0.105,164136.85,1222.569789,9406.075201,149.1794173
197,24000,94,34,0.108,164804.4049,1261.561979,9492.069242,149.4824779
198,24000,94,34,0.111,165479.8997,1299.507177,9580.019048,149.788519
199,24000,94,34,0.114,166162.6976,1336.723048,9669.888622,150.0972344
200,24000,94,34,0.117,166852.2271,1373.079267,9761.648768,150.4083503
201,24000,98,25,0.09,164388.2046,1288.331745,8594.881469,143.2005619
202,24000,98,25,0.093,165131.0239,1335.141958,8678.319568,143.5234931
203,24000,98,25,0.096,165885.2613,1380.788489,8763.975229,143.8508938
204,24000,98,25,0.099,166649.7947,1424.951201,8851.777343,144.1820049
205,24000,98,25,0.102,167423.7008,1466.068351,8941.674515,144.5164026
206,24000,98,25,0.105,168206.1626,1502.819578,9033.625055,144.8537122
207,24000,98,25,0.108,168996.3436,1537.532817,9127.582532,145.1931787
208,24000,98,25,0.111,169793.8195,1569.004187,9223.54758,145.5353597
209,24000,98,25,0.114,170597.8984,1597.492423,9321.487475,145.8795612
210,24000,98,25,0.117,171408.061,1625.657378,9421.3886,146.2255472
211,24000,98,26,0.09,164468.8208,1283.062476,8603.893032,143.2355459
212,24000,98,26,0.093,165209.572,1330.028802,8687.195751,143.5576235
213,24000,98,26,0.096,165961.8344,1375.876435,8772.724593,143.8840904
214,24000,98,26,0.099,166724.5121,1420.283793,8860.411572,144.2143227
215,24000,98,26,0.102,167496.6715,1462.908325,8950.204295,144.5478919
216,24000,98,26,0.105,168277.486,1502.309311,9042.060197,144.8844191
217,24000,98,26,0.108,169066.1099,1538.504772,9135.931924,145.2231425
218,24000,98,26,0.111,169862.1138,1571.559582,9231.819743,145.5646224
219,24000,98,26,0.114,170664.798,1601.479059,9329.690173,145.9081587
220,24000,98,26,0.117,171473.6373,1628.644374,9429.529065,146.2535128
221,24000,98,27,0.09,164556.8522,1277.267275,8613.745596,143.2738749
222,24000,98,27,0.093,165295.3027,1324.460487,8696.895268,143.5948656
223,24000,98,27,0.096,166045.4086,1370.486853,8782.285195,143.9203134
224,24000,98,27,0.099,166806.0601,1415.262163,8869.846051,144.2495867
225,24000,98,27,0.102,167576.3121,1458.306486,8959.524352,144.5822518
226,24000,98,27,0.105,168355.3281,1500.386367,9051.276573,144.9179252
227,24000,98,27,0.108,169142.2518,1538.348145,9145.054347,145.2558375
228,24000,98,27,0.111,169936.6485,1573.032996,9240.857542,145.5965523
229,24000,98,27,0.114,170737.8099,1604.557565,9338.651845,145.9393627
230,24000,98,27,0.117,171545.2041,1633.19864,9438.422523,146.2840271
231,24000,98,28,0.09,164652.6539,1271.184274,8624.482229,143.3155755
232,24000,98,28,0.093,165388.5998,1318.545242,8707.464718,143.6353836
233,24000,98,28,0.096,166136.3579,1364.8666,8792.702895,143.9597226
234,24000,98,28,0.099,166894.8036,1409.871087,8880.125973,144.2879526
235,24000,98,28,0.102,167662.9793,1453.238687,8969.67927,144.6196339
236,24000,98,28,0.105,168440.0372,1495.881071,9061.318215,144.9543782
237,24000,98,28,0.108,169225.2241,1537.107681,9155.007018,145.2918408
238,24000,98,28,0.111,170017.757,1573.401746,9250.704056,145.6312904
239,24000,98,28,0.114,170817.2604,1606.638294,9348.41516,145.9733108
240,24000,98,28,0.117,171623.0816,1636.907575,9448.111278,146.3172247
241,24000,98,29,0.09,164756.6569,1264.946498,8636.155036,143.3608323
242,24000,98,29,0.093,165489.8829,1312.191173,8718.955305,143.6793569
243,24000,98,29,0.096,166235.0915,1358.823395,8804.028083,144.0024926
244,24000,98,29,0.099,166991.1418,1404.056396,8891.300985,144.3295902
245,24000,98,29,0.102,167757.0626,1447.877233,8980.718025,144.6602039
246,24000,98,29,0.105,168531.9942,1490.823904,9072.233488,144.9939398
247,24000,98,29,0.108,169315.1725,1533.1664,9165.810581,145.3304486
248,24000,98,29,0.111,170105.9165,1572.536666,9261.420307,145.6694194
249,24000,98,29,0.114,170903.5068,1607.517374,9359.026981,146.0101538
250,24000,98,29,0.117,171707.6197,1639.555098,9458.641785,146.3532532
251,24000,98,30,0.09,164869.3329,1258.41826,8648.821298,143.409847
252,24000,98,30,0.093,165599.6112,1305.665033,8731.423319,143.7269816
253,24000,98,30,0.096,166342.0568,1352.203876,8816.316146,144.0488142
254,24000,98,30,0.099,167095.5112,1397.970368,8903.425657,144.3746853
255,24000,98,30,0.102,167858.9884,1442.117607,8992.694442,144.7041428
256,24000,98,30,0.105,168631.6156,1485.37938,9084.075544,145.0367867
257,24000,98,30,0.108,169412.6173,1528.027855,9177.531076,145.3722624
258,24000,98,30,0.111,170201.302,1569.623755,9273.031075,145.7102545
259,24000,98,30,0.114,170996.9396,1607.120205,9370.53879,146.0500562
260,24000,98,30,0.117,171799.2011,1640.961158,9470.065079,146.3922733
261,24000,98,31,0.09,164991.1976,1251.800294,8662.54404,143.4628401
262,24000,98,31,0.093,165718.2871,1298.83359,8744.930682,143.778472
263,24000,98,31,0.096,166457.7436,1345.31149,8829.62801,144.0988958
264,24000,98,31,0.099,167208.3896,1391.183565,8916.560006,144.4234411
265,24000,98,31,0.102,167969.2231,1435.913415,9005.667716,144.7516485
266,24000,98,31,0.105,168739.3575,1479.585929,9096.902831,145.0831118
267,24000,98,31,0.108,169518.0043,1522.552143,9190.226273,145.4174707
268,24000,98,31,0.111,170304.4612,1564.505639,9285.607031,145.7544047
269,24000,98,31,0.114,171098.0995,1605.321528,9383.021186,146.0936275
270,24000,98,31,0.117,171898.2449,1641.029703,9482.43727,146.4344613
271,24000,98,32,0.09,165122.8161,1244.980843,8677.39266,143.5200526
