ID,WingArea,WingAspectRatio,Sweep,TaperRatio,Scale_MTO_new,Scale_MCL_new,Scale_MCR_new,BlockFuel,RampWeight,TakeoffFieldLength,LandingFieldLength,ClimbTime,ApproachSpeed,EndOfRunwayThrust,TopOfTheClimbThrust,MidCruiseThrust,Category
718,1399.33154,11.99602564,29.79580718,0.227962244,1.039665141,1.035883531,1.017790752,35865.9,150436.5,6333.42,5736,19.5,124,17492.9,5528.5,3306.927853,0
663,1399.659626,11.93567435,29.9656934,0.227179245,1.042711413,1.038661901,0.998962256,35899.8,150467.7,6333.36,5736,19.6,124,17493.64167,5526.5,3310.995795,0
614,1399.460459,11.97609067,28.12655966,0.225815894,1.047946751,0.971173254,1.002307163,35883.7,150446.9,6333.31,5736,22.8,124,17493.05,5140,3306.529723,0
691,1399.74723,11.9414157,28.15318019,0.225703796,1.041339473,0.975476309,0.966889805,35903.4,150472.5,6333.31,5736,22.3,124,17493.45,5195.5,3309.617497,0
624,1399.54368,11.97372805,29.61644079,0.227820795,1.041715548,1.023400153,1.003723374,35884,150452.7,6333.23,5736,20.1,124,17493.44167,5450,3308.723256,0
711,1399.459725,11.9853393,28.15319918,0.227210701,1.036115197,0.978507021,0.965847827,35869.8,150443.5,6333.21,5736,21.9,124,17493.05,5238.5,3306.479461,0
771,1399.436866,11.98546425,28.15584434,0.229542305,1.036939978,0.975596153,0.964277206,35869.2,150442.2,6333.2,5736,22.1,124,17493.29167,5218.5,3306.361213,0
848,1399.637645,11.98545194,28.27192168,0.235345488,1.042461807,1.022078844,1.004675682,35886.4,150454.4,6333.2,5736,20.2,124,17493.15,5439,3308.944384,0
829,1399.469227,11.98546425,28.15315017,0.221786222,1.036257893,0.973773831,1.008595855,35870.2,150443.8,6333.18,5736,22.1,124,17493.05,5212,3304.860494,0
813,1399.066289,11.98546425,28.1558164,0.221819231,1.042517043,1.022729903,1.002334536,35851.2,150419.2,6333.17,5736,20.2,124,17492.50833,5442.5,3305.521461,0
659,1399.754022,11.93992441,28.15308763,0.227267661,1.041339473,0.974967393,0.961559265,35901.4,150470.5,6333.16,5736,22.4,124,17493.45,5193,3309.601232,0
791,1399.44912,11.98775083,28.15319906,0.221353662,1.036283718,0.973379599,1.003378577,35868.3,150441.9,6333.13,5736,22.1,124,17493.05,5210,3304.83804,0
489,1399.448983,11.98546425,28.15767983,0.221785262,1.036556514,0.973513409,1.003954236,35868.3,150441.7,6333.11,5736,22.2,124,17493.05,5209.5,3304.830554,0
549,1399.448983,11.98546425,28.15767983,0.221785262,1.036556514,0.973513409,1.003954236,35868.3,150441.7,6333.11,5736,22.2,124,17493.05,5209.5,3304.830554,0
606,1399.448983,11.98546425,28.15767983,0.221785262,1.036556514,0.973513409,1.003954236,35868.3,150441.7,6333.11,5736,22.2,124,17493.05,5209.5,3304.830554,0
651,1399.448975,11.98546425,28.15312403,0.221785262,1.036556514,0.973513409,1.003954236,35868.3,150441.7,6333.11,5736,22.2,124,17493.05,5209.5,3304.830554,0
687,1399.448983,11.98546425,28.15767983,0.221794375,1.037155652,0.969918627,1.003358999,35868.5,150441.3,6333.09,5736,22.4,124,17493.05,5187,3304.703635,0
626,1399.721018,11.96538018,29.64806821,0.227377728,1.040399958,1.03882847,1.025837272,35889.7,150459.6,6332.93,5736,19.5,124,17493.35,5541,3309.16733,0
755,1399.454599,11.98126693,28.15905007,0.223063116,1.036044357,1.023924412,1.011055404,35866.7,150440.5,6332.88,5736,19.9,124,17493.1,5483,3306.649625,0
693,1399.325706,11.98546425,28.15311139,0.207367622,1.033421701,0.972676083,1.003954236,35853.7,150429.8,6332.78,5736,22,124,17493,5220.5,3303.282134,0
734,1399.449263,11.97306587,28.15315017,0.221785262,1.036479999,0.972413518,0.961616429,35866.9,150440.4,6332.72,5736,22.2,124,17493.2,5204,3306.061906,0
779,1399.449263,11.97289412,28.15315017,0.221775468,1.036479999,0.973609513,0.961616429,35866.6,150440.1,6332.7,5736,22.2,124,17493.2,5210,3306.098699,0
613,1399.727339,11.93977946,28.2932617,0.222937159,1.040546616,1.022729903,1.011460986,35893,150462.8,6332.67,5736,20.1,124,17493.5,5452.5,3309.22271,0
759,1399.462229,11.98589953,27.95760539,0.219956384,1.041078957,0.974148381,1.004813927,35865.2,150434.5,6332.53,5736,22.3,124,17493.1,5190,3304.65413,0
677,1399.727339,11.94341554,28.1583577,0.229468046,1.041439919,1.023335811,0.965803886,35891.7,150460.7,6332.52,5736,20.2,124,17493.79167,5451,3310.686011,0
586,1399.448983,11.98727916,29.41657288,0.223274591,1.036556514,1.047765675,1.023626475,35858.4,150431.8,6332.37,5736,19,124,17493.15,5614,3306.429158,0
644,1399.448983,11.98727916,29.41657288,0.223283426,1.036556514,1.047765675,1.023626475,35858.4,150431.8,6332.37,5736,19,124,17493.15,5614,3306.429158,0
666,1399.448983,11.98727916,29.41657288,0.220753375,1.036556514,1.047765675,1.023626475,35858.4,150431.8,6332.37,5736,19,124,17493.15,5614,3306.429158,1
652,1399.449271,11.98352411,28.15770598,0.221776428,1.036479999,0.973609513,0.961616429,35859.5,150432.9,6332.32,5736,22.1,124,17493.2,5210,3305.372838,0
657,1399.471999,11.98546425,28.1258479,0.224542629,1.039657903,1.022729903,1.021769165,35861.1,150431.6,6332.27,5736,20.1,124,17493.15,5457.5,3305.837473,0
805,1399.449263,11.98083207,28.15366404,0.220669663,1.036778609,0.975481457,0.961616429,35858.9,150432,6332.25,5736,22.1,124,17493.2,5218.5,3305.410306,0
648,1399.650825,11.99485305,29.68517328,0.227962244,1.038360297,1.028811842,1.022622489,35877.9,150449.7,6332.8,5735,19.8,124,17493.2,5497,3307.67932,0
670,1399.699359,11.99485305,29.38055391,0.227962244,1.038475106,1.028783274,1.022622489,35878,150449.6,6332.57,5735,19.8,124,17493.54167,5496,3307.708241,0
698,1399.653292,11.99635308,29.89580121,0.227962244,1.038360297,1.028811842,1.027687763,35872.6,150444.3,6332.55,5735,19.8,124,17493.2,5497,3306.968551,0
654,1399.645024,11.99670369,29.92094879,0.228436428,1.038378903,1.027646621,1.024954248,35871.9,150443.6,6332.49,5735,19.8,124,17493.2,5490.5,3306.946201,0
690,1399.910993,11.93513055,28.15308955,0.227170228,1.041497862,1.038238826,1.001377048,35902.3,150471.2,6332.48,5735,19.6,124,17484.44348,5531,3311.136013,0
581,1399.754022,11.93912912,28.15257007,0.227267661,1.041339473,1.023309426,0.966582447,35892.2,150461.2,6332.47,5735,20.1,124,17493.55,5451.5,3310.686011,0
572,1399.906373,11.93513055,28.15308955,0.227170228,1.041587031,1.039370272,1.001377048,35901.9,150470.8,6332.46,5735,19.5,124,17484.44348,5537,3311.158408,0
601,1399.906373,11.93513055,28.15308955,0.227170228,1.041587031,1.039370272,1.001377048,35901.9,150470.8,6332.46,5735,19.5,124,17484.44348,5537,3311.158408,0
611,1399.754022,11.93912912,28.19268001,0.227267661,1.041519714,1.023309426,0.966582447,35892,150460.9,6332.45,5735,20.2,124,17493.55,5450.5,3310.686011,0
667,1399.754022,11.93912912,28.11940535,0.227267661,1.041519714,1.023309426,0.966582447,35892,150460.9,6332.45,5735,20.2,124,17493.55,5450.5,3310.686011,0
608,1399.645024,11.99670369,29.92094879,0.228436428,1.038378903,1.027877918,1.023082262,35871.2,150442.9,6332.44,5735,19.8,124,17493.2,5492,3306.93875,0
697,1399.645024,11.99670369,29.92094879,0.228436428,1.038378903,1.027877918,1.023082262,35871.2,150442.9,6332.44,5735,19.8,124,17493.2,5492,3306.93875,0
540,1399.650825,11.99635308,29.77437872,0.227962244,1.038360297,1.028811842,1.023095145,35871,150442.7,6332.43,5735,19.8,124,17493.2,5497,3306.961101,0
747,1399.6822,11.99602564,28.22692067,0.227962244,1.036449848,1.035883531,1.023095145,35870.9,150444.3,6332.41,5735,19.4,124,17493.25,5546.5,3307.170092,0
671,1399.650825,11.99635308,29.77437872,0.227962244,1.038360297,1.030251748,1.023095145,35870.7,150442.4,6332.4,5735,19.7,124,17493.2,5505,3306.976685,0
730,1399.650825,11.99635308,29.73087581,0.227962244,1.038360297,1.030251748,1.023095145,35870.7,150442.4,6332.4,5735,19.7,124,17493.2,5505,3306.976685,0
554,1399.653292,11.99635308,29.89580121,0.227962244,1.038360297,1.028811842,1.021744858,35870.5,150442.2,6332.39,5735,19.8,124,17493.2,5497,3306.953651,0
672,1399.555456,11.99602564,29.79580718,0.227962244,1.041087099,1.035883531,1.023095145,35867.3,150436.5,6332.38,5735,19.6,124,17493.15,5520.5,3306.927664,0
604,1399.633351,11.98775083,29.81907621,0.22785332,1.042711413,1.038661901,1.029223783,35874.8,150442.6,6332.37,5735,19.6,124,17493.25,5527,3307.714297,0
668,1399.650825,11.99351703,28.18696371,0.227962244,1.038430592,1.028279097,1.002437303,35870.9,150442.5,6332.27,5735,19.8,124,17493.3,5493.5,3307.619773,0
737,1399.727779,11.98095876,28.15786704,0.22732838,1.039734841,1.022729903,1.003378577,35878.8,150449.3,6332.26,5735,20.1,124,17493.64167,5457,3308.112319,0
530,1399.754022,11.9414157,28.15308955,0.227267661,1.041339473,1.038708679,0.966582447,35888.8,150457.8,6332.22,5735,19.5,124,17493.84167,5534.5,3310.996067,0
633,1399.754022,11.9414157,28.15308955,0.227267661,1.041339473,1.038708679,0.966582447,35888.8,150457.8,6332.22,5735,19.5,124,17493.84167,5534.5,3310.996067,0
700,1399.754022,11.9414157,28.15308955,0.227267661,1.041339473,1.038708679,0.966582447,35888.8,150457.8,6332.22,5735,19.5,124,17493.84167,5534.5,3310.996067,0
676,1399.727339,11.98546425,28.15786128,0.22814129,1.039389421,1.02278238,1.01314732,35875.4,150446.2,6332.18,5735,20.1,124,17493.35,5459,3307.523442,0
694,1399.754022,11.9414157,28.157658,0.227105166,1.041517163,1.039546006,0.966582447,35888.4,150457.3,6332.18,5735,19.5,124,17493.84167,5538,3311.00354,0
851,1399.470578,11.98732911,28.15320084,0.220083813,1.0357123,0.968551272,0.96663961,35856.2,150430.3,6332.18,5735,22.4,124,17493.15,5187,3304.628032,0
598,1399.650825,11.99602564,29.79580718,0.227962244,1.039665141,1.035883531,1.023095145,35868.5,150439,6332.15,5735,19.5,124,17493.25,5528.5,3307.036937,0
