Altitude,Mach,CL,CD Total,LOD
10000,0.5,1.218828285,0.080995458,15.04810659
10000,0.5,1.439390485,0.110264017,13.05403634
10000,0.6,0,0.021571662,0
10000,0.6,0.101569024,0.020883873,4.863514732
10000,0.6,0.203138048,0.02109272,9.630718466
10000,0.6,0.304707071,0.022210806,13.71886599
10000,0.6,0.406276095,0.024261279,16.74586468
10000,0.6,0.507845119,0.027267591,18.62449525
10000,0.6,0.609414143,0.031264412,19.49226306
10000,0.6,0.710983166,0.036296554,19.58817264
10000,0.6,0.81255219,0.042408616,19.16007327
10000,0.6,0.914121214,0.049644439,18.41336577
10000,0.6,1.218828285,0.078518668,15.52278351
10000,0.6,1.439390485,0.106769637,13.48127169
10000,0.7,0,0.020999596,0
10000,0.7,0.101569024,0.020318042,4.998957281
10000,0.7,0.203138048,0.020522345,9.898383835
10000,0.7,0.304707071,0.021620858,14.09319977
10000,0.7,0.406276095,0.023632533,17.19139015
10000,0.7,0.507845119,0.02659618,19.09466393
10000,0.7,0.609414143,0.030622505,19.90085863
10000,0.7,0.710983166,0.03573824,19.89418522
10000,0.7,0.81255219,0.04198006,19.35567005
10000,0.7,0.914121214,0.049384116,18.51042983
10000,0.7,1.218828285,0.078874967,15.45266301
10000,0.7,1.439390485,0.107325193,13.41148751
10000,0.75,0,0.021796922,0
10000,0.75,0.101569024,0.021119419,4.809271694
10000,0.75,0.203138048,0.021321923,9.527191708
10000,0.75,0.304707071,0.022410529,13.59660323
10000,0.75,0.406276095,0.024401934,16.64933997
10000,0.75,0.507845119,0.02745995,18.49402927
10000,0.75,0.609414143,0.031829634,19.14612474
10000,0.75,0.710983166,0.037254413,19.08453546
10000,0.75,0.81255219,0.043793949,18.55398311
10000,0.75,0.914121214,0.051476406,17.75806209
10000,0.75,1.218828285,0.081329939,14.9862191
10000,0.75,1.439390485,0.109534265,13.14100647
10000,0.775,0,0.022647431,0
10000,0.775,0.101569024,0.022109524,4.593903695
10000,0.775,0.203138048,0.022311553,9.104612664
10000,0.775,0.304707071,0.023395441,13.02420719
10000,0.775,0.406276095,0.025376687,16.00981621
10000,0.775,0.507845119,0.028475358,17.8345473
10000,0.775,0.609414143,0.03305515,18.4362843
10000,0.775,0.710983166,0.03872534,18.35963651
10000,0.775,0.81255219,0.045467443,17.87107733
10000,0.775,0.914121214,0.05323613,17.17106811
10000,0.775,1.218828285,0.083175885,14.65362569
10000,0.775,1.439390485,0.111174291,12.94715237
10000,0.8,0,0.024142113,0
10000,0.8,0.101569024,0.023618738,4.300357792
10000,0.8,0.203138048,0.023840772,8.520615356
10000,0.8,0.304707071,0.024948665,12.21336176
10000,0.8,0.406276095,0.026955877,15.07189304
10000,0.8,0.507845119,0.030204266,16.81368847
10000,0.8,0.609414143,0.035099171,17.36263637
10000,0.8,0.710983166,0.040988232,17.34603156
10000,0.8,0.81255219,0.047908153,16.96062443
10000,0.8,0.914121214,0.055858557,16.36492711
10000,0.8,1.218828285,0.085922383,14.18522441
10000,0.8,1.439390485,0.113817034,12.64652956
10000,0.825,0,0.026542526,0
10000,0.825,0.101569024,0.026041005,3.900349622
10000,0.825,0.203138048,0.026311191,7.720594936
10000,0.825,0.304707071,0.027490943,11.08390756
10000,0.825,0.406276095,0.029592116,13.72920054
10000,0.825,0.507845119,0.033037889,15.37159711
10000,0.825,0.609414143,0.038315456,15.90517787
10000,0.825,0.710983166,0.044557786,15.95642939
10000,0.825,0.81255219,0.051753945,15.70029473
10000,0.825,0.914121214,0.059971317,15.24264031
10000,0.825,1.218828285,0.090863628,13.41381928
10000,0.825,1.439390485,0.119181239,12.07732439
20000,0.2,0,0.025597481,0
20000,0.2,0.101569024,0.024900728,4.078958013
20000,0.2,0.203138048,0.025129476,8.08365634
20000,0.2,0.304707071,0.026307654,11.58244939
20000,0.2,0.406276095,0.028469558,14.27054452
20000,0.2,0.507845119,0.031656312,16.04246
20000,0.2,0.609414143,0.035931058,16.96065123
20000,0.2,0.710983166,0.041360342,17.18997309
20000,0.2,0.81255219,0.04800947,16.9248315
20000,0.2,0.914121214,0.055942231,16.34044974
20000,0.2,1.218828285,0.088051854,13.84216492
20000,0.2,1.439390485,0.119729006,12.02206995
20000,0.3,0,0.024218673,0
20000,0.3,0.101569024,0.023523021,4.317856282
20000,0.3,0.203138048,0.023748269,8.553804406
20000,0.3,0.304707071,0.024916501,12.22912764
20000,0.3,0.406276095,0.027060197,15.01378926
20000,0.3,0.507845119,0.030217029,16.80658674
20000,0.3,0.609414143,0.034445765,17.69199038
20000,0.3,0.710983166,0.039809501,17.85963522
20000,0.3,0.81255219,0.046370205,17.52315285
20000,0.3,0.914121214,0.054188468,16.86929429
20000,0.3,1.218828285,0.085768748,14.21063398
20000,0.3,1.439390485,0.116859066,12.31731978
20000,0.4,0,0.023264223,0
20000,0.4,0.101569024,0.022570259,4.500126649
20000,0.4,0.203138048,0.022790798,8.913160829
20000,0.4,0.304707071,0.023945384,12.72508601
20000,0.4,0.406276095,0.026064004,15.5876317
20000,0.4,0.507845119,0.029179943,17.40391059
20000,0.4,0.609414143,0.033345732,18.27562649
20000,0.4,0.710983166,0.0386197,18.4098573
20000,0.4,0.81255219,0.045059203,18.03299073
20000,0.4,0.914121214,0.052720403,17.33904071
20000,0.4,1.218828285,0.083573373,14.58393076
20000,0.4,1.439390485,0.113855821,12.6422213
20000,0.5,0,0.022514276,0
20000,0.5,0.101569024,0.021822769,4.654268393
20000,0.5,0.203138048,0.022037616,9.217786897
20000,0.5,0.304707071,0.023175183,13.14798986
20000,0.5,0.406276095,0.025262323,16.08229358
20000,0.5,0.507845119,0.028327433,17.92767876
20000,0.5,0.609414143,0.032414928,18.80041637
20000,0.5,0.710983166,0.037577073,18.92066383
20000,0.5,0.81255219,0.043865403,18.52375983
20000,0.5,0.914121214,0.05133047,17.80854946
20000,0.5,1.218828285,0.081273129,14.99669448
20000,0.5,1.439390485,0.110541688,13.02124575
20000,0.6,0,0.022377399,0
20000,0.6,0.101569024,0.02168961,4.682842338
20000,0.6,0.203138048,0.021898456,9.276363959
20000,0.6,0.304707071,0.023016542,13.23861208
20000,0.6,0.406276095,0.025067015,16.20759771
20000,0.6,0.507845119,0.028073328,18.08995068
20000,0.6,0.609414143,0.032070148,19.00253603
20000,0.6,0.710983166,0.037102291,19.1627834
20000,0.6,0.81255219,0.043214352,18.80283175
20000,0.6,0.914121214,0.050450176,18.11928692
20000,0.6,1.218828285,0.079324405,15.36511096
20000,0.6,1.439390485,0.107575373,13.38029741
20000,0.7,0,0.021759508,0
20000,0.7,0.101569024,0.021077954,4.818732596
20000,0.7,0.203138048,0.021282257,9.544948546
20000,0.7,0.304707071,0.02238077,13.6146822
